"id","iddoc","mois_installation","an_installation","nb_panneaux","panneaux_marque","panneaux_modele","nb_onduleur","onduleur_marque","onduleur_modele","puissance_crete","surface","pente","pente_optimum","orientation","orientation_optimum","installateur","production_pvgis","lat","lon","country","postal_code","postal_code_suffix","postal_town","locality","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","political"
"1","1","09","2007","14","Sanyo","HIP-215 NKHE1","1","SMA","Sunny Boy 2800","3010","22","20","37","-20","1","MECOTECH","3633","43.51","1.51","France","31320",,,"Castanet-Tolosan","Occitanie","Haute-Garonne",,,
"2","4","03","2008","18","Canadian Solar","CS5A-170M","1","Mastervolt","SunMaster QS 3500","3060","23","20","38","70","0","Helio Therma","3742","43.5","3.37","France","34720",,,"Caux","Languedoc-Roussillon Midi-Pyr̩n̩es","H̩rault",,,
"3","12","12","2007","63","Mitsubishi","PV-MF175 TD4","4","SMA","Sunny Boy 2500","11025","81","15","37","-20","0","Cervin Enr","13360","45.06","4.88","France","26600",,,"Mercurol","Auvergne-Rh̫ne-Alpes","Dr̫me",,,
"4","8","05","2007","8","Schuco","S 310-PM-4","1","SMA","Sunny Boy 2500","2480","20","20","37","70","1","CRESTEY Energie Renouvelable","2763","43.62","1.25","France","31820",,,"Pibrac","Languedoc-Roussillon Midi-Pyr̩n̩es","Haute-Garonne",,,
"5","10","09","2007","20","Sanyo","HIP-215 NKHE5","1","SMA","Sunny Boy 4200 TL","4300","25","30","38","-40","-2","SIDEC","4694","47.46","-0.5","France","49124",,,"Saint-Barth̩lemy-d'Anjou","Pays de la Loire","Maine-et-Loire",,,
"6","14","02","2008","8","Roto Frank","SPR 10/20 280 (272Wc)","1","SMA","Sunny Boy 2100TL","2176","16","20","37","10","-4","SPER","2468","45.62","4.04","France","42600",,,"Montbrison","Auvergne-Rh̫ne-Alpes","Loire",,,
"7","17","05","2008","21","Kyocera","FL130T-1A","1","SMA","Sunny Boy 2500","2730","22","30","38","-65","-1","Thermi Confort","2832","47.05","-0.9","France","49300",,,"Cholet","Pays de la Loire","Maine-et-Loire",,,
"8","18","10","2007","16","CONERGY","C 125 PL","1","SMA","Sunny Boy 2100TL","2000","16","25","38","20","1","NTD Provence","2947","43.38","5.23","France","13180",,,"Gignac-la-Nerthe","Provence-Alpes-C̫te d'Azur","Bouches-du-Rh̫ne",,,
"9","24","06","2007","23","Solar-Fabrik","SF 130/2-130","1","Sputnik","SOLARMAX 3000C","2990","21","30","36","10","0","KBE Solaire","3364","45.16","5.83","France","38410",,,"Saint-Martin-d'Uriage","Auvergne-Rh̫ne-Alpes","Is̬re",,,
"10","25","12","2007","18","SHARP","NE-165 U1","1","Mastervolt","SunMaster QS 3500","2970","23","20","38","25","2","Helio Therma","4027","43.4","3.65","France","34200",,,"S̬te","Languedoc-Roussillon Midi-Pyr̩n̩es","H̩rault",,,
